tensor([[5.8568]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[-0.6986]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4977]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9578]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.2032]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.5933]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2650]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.6838]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.4707]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9843]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.3508]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3847]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4362]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.3821]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.0956]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.6926]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3145]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.5176]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.0306]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.5610]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9834]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.1545]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6064]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.3551]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.8800]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.7230]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.2340]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9204]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.1416]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.5978]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.6680]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0516]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8057]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5233]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2496]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.7803]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2526]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.1552]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8575]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4550]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5776]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4684]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3999]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.6784]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[0.9606]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.5315]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2757]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9439]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.3584]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.4398]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4639]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0838]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4753]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.0210]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.3636]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2819]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4177]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[0.0164]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.3723]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.9933]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.1022]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3976]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[0.7845]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.5924]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.1376]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4813]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2464]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2115]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1937]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1250]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4296]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2845]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8876]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.9781]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1459]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.7017]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.0845]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2649]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.5237]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2369]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1874]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5364]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4726]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7092]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2614]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1460]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.0586]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1092]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.0323]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0358]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2112]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8639]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8442]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9013]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.0254]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[0.2850]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.1784]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.1052]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.5185]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.8198]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4774]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.3133]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4951]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9624]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.8488]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4846]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8775]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.1215]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4296]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3994]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7985]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1354]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4136]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9615]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3425]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6515]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1850]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.6429]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4810]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2484]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.8338]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9967]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4925]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0620]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4742]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.8505]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8305]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.6585]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.2290]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5162]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.6090]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.5915]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6239]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.6074]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.3284]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9981]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.7299]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.3074]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.6848]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.0602]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.0064]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.3754]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5914]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3675]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[-0.2191]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6167]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.6402]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.3620]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6961]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6746]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0999]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9276]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0205]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.9923]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8727]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0941]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.1316]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5508]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.5860]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.0818]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.5413]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3236]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7977]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.9413]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1239]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1403]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.9673]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3591]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7311]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3565]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8858]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7834]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.0984]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.2186]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1255]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2823]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0554]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1471]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8071]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2109]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7675]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3061]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9212]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5354]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1751]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7402]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8222]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6751]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6994]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[0.5661]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7300]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.3938]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.9022]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1902]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.3612]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.8374]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7655]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4632]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9919]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.7141]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.2344]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.3148]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5099]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6114]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4991]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5011]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1535]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.3762]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6929]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.5594]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.8292]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.8671]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0698]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4299]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.6319]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.2235]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6128]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[-0.9781]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5119]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1656]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5229]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2387]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5144]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0206]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.6557]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.7113]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[0.8939]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8288]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6998]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1251]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.1495]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.2756]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4074]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7917]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2386]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.5883]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.3453]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0965]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8542]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6552]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2936]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5985]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5437]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.4053]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5899]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0068]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8572]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.7515]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.2435]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.0364]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.9600]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4296]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.8843]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.5715]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.9806]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.3624]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9488]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7336]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.3563]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.1325]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0144]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2242]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8655]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.6856]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[-0.6298]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.6086]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0013]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.7259]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.5038]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5063]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.3034]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2200]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5577]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.3778]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.7080]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4772]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0896]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8991]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.5138]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4598]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9528]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5087]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4006]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1775]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.3042]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.7614]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.8980]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[0.3799]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.3275]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.6128]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.2942]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0352]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.7388]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4031]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8624]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1516]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0189]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.9068]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.7985]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1607]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.8623]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.2696]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.6890]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8219]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9788]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4278]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.3132]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4520]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1072]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8312]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4801]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.0905]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.8293]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1764]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.0596]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5722]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7856]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.6745]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2946]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8600]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.5530]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8832]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.6229]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0467]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.8438]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.1640]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.7971]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.6208]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.8662]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.0668]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.3132]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4120]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.8750]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.3151]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2820]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.6224]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.6119]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.6160]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8198]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.4116]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.1163]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.0642]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4912]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.3864]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.8960]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.6897]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.3462]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2756]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.3264]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4700]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.7589]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.7629]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.1890]], device='cuda:0', grad_fn=<SumBackward1>)
